"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"0";"1";"2"
"BISE48_c";"ThLaq";"Th13";4;3;"G+";12;6,1549333345013;4,42727865999565
"BISE48_d";"ThLaq";"Th13";4;4;"G+";13;6,10342690881495;4,26633803868847
"BISE49_a";"ThLaq";"Th18";1;1;"F-";14;5,66952251154965;3,80902746306535
"BISE49_b";"ThLaq";"Th18";1;2;"F-";14;5,98590230970905;4,04796259819161
"BISE49_c";"ThLaq";"Th18";1;3;"F-";14;5,95964676964256;3,92548224307881
"BISE49_d";"ThLaq";"Th18";1;4;"F-";14;5,72099181565714;3,71390627526157
"BISE50_a";"ThLaq";"Th18";2;1;"F-";13;5,66721841906054;3,91508210089329
"BISE50_b";"ThLaq";"Th18";2;2;"F-";14;5,21692285038546;3,29089026915114
"BISE50_c";"ThLaq";"Th18";2;3;"F-";12;5,06127883421451;3,30720139875424
"BISE50_d";"ThLaq";"Th18";2;4;"F-";12;5,51457374313868;3,64400545391128
"BISE51_a";"ThLaq";"Th18";3;1;"F-";15;5,5580172998562;3,57064130781767
"BISE51_b";"ThLaq";"Th18";3;2;"F-";14;5,82138664859715;3,92757631098356
"BISE51_c";"ThLaq";"Th18";3;3;"F-";15;5,73238447131538;3,71332932795468
"BISE51_d";"ThLaq";"Th18";3;4;"F-";14;5,88744987458585;3,89722620352415
"BISE52_a";"ThLaq";"Th18";4;1;"F-";15;5,46731910625869;3,59101654846336
"BISE52_b";"ThLaq";"Th18";4;2;"F-";15;5,49140070012992;3,65556191765135
"BISE52_c";"ThLaq";"Th18";4;3;"F-";15;5,70672247350018;3,74142035673735
"BISE52_d";"ThLaq";"Th18";4;4;"F-";14;5,46988126946289;3,61367786526341
"BISE53_a";"ThLaq";"Th20";1;1;"F+";14;4,97706598773108;3,1617930167994
"BISE53_b";"ThLaq";"Th20";1;2;"F+";14;5,04915401355276;3,0979097909791
"BISE53_c";"ThLaq";"Th20";1;3;"F+";14;4,72529414057394;2,96076861489191
"BISE53_d";"ThLaq";"Th20";1;4;"F+";14;4,75803095324022;2,93169353498421
"BISE54_a";"ThLaq";"Th20";2;1;"F+";14;5,18885124785817;3,32507529388905
"BISE54_b";"ThLaq";"Th20";2;2;"F+";13;5,11258140698674;3,30159988615804
"BISE54_c";"ThLaq";"Th20";2;3;"F+";15;5,99652720420795;3,98067810645443
"BISE54_d";"ThLaq";"Th20";2;4;"F+";15;5,11910231691523;3,18572157288917
"BISE55_a";"ThLaq";"Th20";3;1;"F+";13;4,90479292461393;3,01519001027082
"BISE55_b";"ThLaq";"Th20";3;2;"F+";13;5,05935877952544;3,21515130040394
"BISE55_c";"ThLaq";"Th20";3;3;"F+";13;5,32240683056789;3,39550996944117
"BISE55_d";"ThLaq";"Th20";3;4;"F+";14;5,25621912732212;3,30940348916935
"BISE56_a";"ThLaq";"Th20";4;1;"F+";14;5,30527359657138;3,35882394515513
"BISE56_b";"ThLaq";"Th20";4;2;"F+";14;5,36173370185645;3,43013985099987
"BISE56_c";"ThLaq";"Th20";4;3;"F+";13;5,50651540032021;3,57863719073355
"BISE56_d";"ThLaq";"Th20";4;4;"F+";13;5,32758904697149;3,45457737025793
"BISE57_a";"ThLaq";"Int";1;1;"H+";12;5,49467019785591;3,83005590523476
"BISE57_b";"ThLaq";"Int";1;2;"H+";11;5,30557851672734;3,72316715542522
"BISE57_c";"ThLaq";"Int";1;3;"H+";12;5,36324737635839;3,71269645064453
"BISE57_d";"ThLaq";"Int";1;4;"H+";12;5,53634922954763;3,86164744503477
"BISE58_a";"ThLaq";"Int";2;1;"H+";13;5,30976211416259;3,53060368554877
"BISE58_b";"ThLaq";"Int";2;2;"H+";12;5,37404185665152;3,70285196921684
"BISE58_c";"ThLaq";"Int";2;3;"H+";13;5,40954156195235;3,68665868979958
