"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16"
"BISE54_d";"ThLaq";"Th20";2;4;"F+";4;41;13;21;2;12;5;1;7;6;1;2;2;0;195;67
"BISE55_a";"ThLaq";"Th20";3;1;"F+";3;32;10;23;2;11;5;0;7;5;0;2;2;0;180;52
"BISE55_b";"ThLaq";"Th20";3;2;"F+";4;45;15;29;3;12;5;0;10;7;0;3;1;0;218;74
"BISE55_c";"ThLaq";"Th20";3;3;"F+";4;35;9;25;2;12;5;0;7;7;0;2;2;0;165;60
"BISE55_d";"ThLaq";"Th20";3;4;"F+";4;40;12;22;3;12;4;1;8;6;0;2;2;0;181;64
"BISE56_a";"ThLaq";"Th20";4;1;"F+";4;51;14;31;3;13;5;1;12;6;0;4;2;0;217;73
"BISE56_b";"ThLaq";"Th20";4;2;"F+";2;36;6;26;3;10;4;0;10;5;1;3;2;0;158;58
"BISE56_c";"ThLaq";"Th20";4;3;"F+";3;44;10;30;3;12;5;0;10;5;0;4;2;0;172;63
"BISE56_d";"ThLaq";"Th20";4;4;"F+";4;50;10;26;4;14;5;0;10;6;0;4;2;0;197;77
"BISE57_a";"ThLaq";"Int";1;1;"H+";3;36;16;18;1;13;4;0;6;6;0;2;0;0;134;74
"BISE57_b";"ThLaq";"Int";1;2;"H+";3;31;14;12;0;14;4;0;3;6;0;2;0;0;120;67
"BISE57_c";"ThLaq";"Int";1;3;"H+";2;34;13;14;1;12;4;0;6;6;0;2;0;0;127;69
"BISE57_d";"ThLaq";"Int";1;4;"H+";2;38;15;13;1;13;4;0;7;6;0;3;0;0;127;70
"BISE58_a";"ThLaq";"Int";2;1;"H+";3;48;13;23;1;15;5;1;9;6;0;2;0;0;174;67
"BISE58_b";"ThLaq";"Int";2;2;"H+";2;35;10;22;1;9;5;0;6;5;0;2;0;0;128;61
"BISE58_c";"ThLaq";"Int";2;3;"H+";2;41;13;19;1;13;3;1;6;7;0;2;0;0;142;64
"BISE58_d";"ThLaq";"Int";2;4;"H+";3;43;12;25;1;14;5;0;8;5;0;3;0;0;149;64
"BISE59_a";"ThLaq";"Int";3;1;"H+";2;47;14;22;1;13;3;0;14;7;0;3;0;0;123;73
"BISE59_b";"ThLaq";"Int";3;2;"H+";2;34;12;14;1;11;2;0;12;6;0;1;0;0;108;48
"BISE59_c";"ThLaq";"Int";3;3;"H+";2;42;8;22;1;13;3;0;11;5;0;3;0;0;102;60
