"";"keys";"names";"trophic_group"
"311";"4901371";"Demequina";17
"312";"7794229";"Demequinaceae";17
"313";"3220316";"Denitratisoma";17
"314";"3219826";"Derxia";17
"315";"2652440";"Desmodesmus";20
"316";"3226460";"Desulfitobacterium";17
"317";"3220678";"Desulfotalea";17
"318";"3220375";"Desulfovibrio";17
"319";"3220389";"Desulfovirga";17
"320";"8941";"Desulfuromonadaceae";17
"321";"3220490";"Desulfuromonas";17
"322";"3220926";"Devosia";17
"323";"6123596";"Diaphanoeca spiralifurca";6
"324";"3220176";"Diaphorobacter";17
"325";"2592471";"Dictyosporium";3
"326";"7410447";"Dileptus";6
"327";"7957501";"Dileptus microstoma";6
"328";"3194946";"Dinobryon";20
"329";"2518442";"Dioszegia";3
"330";"5237438";"Dioszegia crocea";3
"331";"5889471";"Diplogasteroides magnus";15
"332";"2282616";"Discolaimus cf. major HHBM-2007a";15
"333";"2559290";"Dissophora decumbens";3
"334";"2283953";"Ditylenchus dipsaci";15
"335";"2560208";"Diversispora";3
"336";"9697977";"Diversispora varaderana";3
"337";"7623";"Diversisporaceae";3
"338";"533";"Diversisporales";3
"339";"3222287";"Dokdonella";17
"340";"8138815";"Dokdonella ginsengisoli";17
"341";"7642033";"Dongia";17
"342";"446";"Dorylaimida";15
"343";"2592";"Dorylaimidae";15
"344";"3219861";"Duganella";17
"345";"3228894";"Dyadobacter";17
"346";"3222364";"Dyella";17
"347";"103079544";"Echinamoeba exundans";15
"348";"4405791";"Ecumenicus";12
"349";"4887124";"Edaphobacter";17
"350";"8886828";"Edaphobacter dinghuensis";17
"351";"6533858";"Elusimicrobium";17
"352";"3228870";"Emticicia";17
"353";"3565";"Enchytraeidae";11
"354";"2308266";"Enchytraeus";15
"355";"2308269";"Enchytraeus albidus";15
"356";"2308272";"Enchytraeus buchholzi";15
"357";"4409817";"Enchytraeus bulbosus";15
"358";"4307714";"Enchytraeus christenseni";15
"359";"2308267";"Enchytraeus lacteus";15
"360";"4409812";"Enchytraeus norvegicus";15
"361";"2308261";"Enchytronia parva";15
"362";"2627185";"Endochytrium";3
"363";"2559270";"Endogone";3
"364";"2559270";"Endogone";20
"365";"2559441";"Endogone lactiflua";3
"366";"1395";"Enterobacterales";17
"367";"4899";"Enterobacteriaceae";17
"368";"2120412";"Entomobrya";20
"369";"2120754";"Entomobrya multifasciata";20
"370";"7216";"Entomobryidae";20
"371";"104290441";"Entomobryomorpha";20
"372";"2513576";"Entyloma ficariae";3
"373";"4912196";"Eocercomonas";6
"374";"2119156";"Eosentomon";19
"375";"3195018";"Epipyxis pulchra";9
"376";"8387843";"Epispathidium";6
"377";"8423927";"Epispathidium terricola";16
"378";"9815647";"Epistylis";6
"379";"1353";"Ericales";7
"380";"3221318";"Erythrobacter";17
"381";"4901672";"Erythrobacteraceae";17
"382";"2283775";"Eucephalobus striatus";15
"383";"8362112";"Eucoccidiorida";6
"384";"4410245";"Eudrilus eugeniae";20
"385";"9473002";"Euduboscquella";20
"386";"3212288";"Euglypha";6
"387";"5730694";"Euglypha rotunda";6
"388";"5730696";"Euglypha tuberculata";6
"389";"9797892";"Euglyphida";5
"390";"4348568";"Eumonhystera";14
"391";"8410027";"Euplotes";6
"392";"7866880";"Euplotes balteatus";6
"393";"8410027C1";"Euplotes qatarensis";6
"394";"8374779";"Euplotes trisulcatus";6
"395";"8290279";"Euplotida";6
"396";"7575660";"Euplotidae";6
"397";"1948";"Eustigmataceae";20
"398";"5386";"Fabaceae";7
"399";"6391433";"Fallopia multiflora";7
"400";"3220318";"Ferribacterium";17
"401";"8011754";"Ferrimicrobium";17
"402";"7506466";"Ferrithrix";17
"403";"7592743";"Ferruginibacter";17
"404";"8867112";"Ferruginibacter paludis";17
"405";"5917830";"Fibrella";17
"406";"3228262";"Fibrobacter";17
"407";"9659532";"Filobasidium stepposum";3
"408";"7913878";"Fistulifera";20
"409";"4893097";"Flavisolibacter";17
"410";"7703764";"Flavisolibacter rigui";17
"411";"8099";"Flavobacteriaceae";17
"412";"3221328";"Flavobacterium";17
"413";"3228598";"Flavobacterium hydatis";17
"414";"3228773";"Flexibacter";17
"415";"3228481";"Fluviicola";17
"416";"2120383";"Folsomia candida";20
"417";"2120372";"Folsomia quadrioculata";20
"418";"1419844";"Forficula";1
"419";"1419845";"Forficula auricularia";20
"420";"3225653";"Frankia";17
"421";"4812533";"Fridericia bisetosa";15
"422";"7369804";"Fridericia christeri";15
"423";"8142015";"Fridericia connata";15
"424";"4812535";"Fridericia galba";15
"425";"7630327";"Fridericia isseli";15
"426";"7618454";"Fridericia magna";15
"427";"2308365";"Fridericia paroniana";15
"428";"2308359";"Fridericia ratzeli";15
"429";"7441738";"Fridericia sohlenii";15
"430";"9053167";"Fridericia sylvatica";15
"431";"8876572";"Fridericia tuberosa";15
"432";"8891999";"Friesea grisea";20
"433";"3225337";"Frigoribacterium";17
"434";"2282796";"Funaria";20
"435";"4645";"Funariaceae";20
"436";"7578300";"Funneliformis mosseae";3
"437";"7989755";"Fuscheria";6
"438";"3225870";"Fusobacterium";17
"439";"7650175";"Gaiella";17
"440";"8370031";"Gaiella occulta";17
"441";"362";"Gammaproteobacteria";17
"442";"2554333";"Geastrum saccatum";3
"443";"3228998";"Gemmata";17
"444";"3228999";"Gemmata obscuriglobus";17
"445";"4721";"Gemmatimonadaceae";17
"446";"102704754";"Gemmatimonadetes";17
"447";"3228301";"Gemmatimonas";17
"448";"5499811";"Genea fragrans";3
"449";"4888232";"Geoalkalibacter";17
"450";"3220513";"Geobacter";17
"451";"7566235";"Geobacter anodireducens";17
"452";"3833";"Geodermatophilaceae";17
"453";"3224724";"Geodermatophilus";17
"454";"7501881";"Georgfuchsia";17
"455";"8002263";"Georgfuchsia toluolica";17
"456";"3220511";"Geothermobacter";17
"457";"3229014";"Geothrix";17
"458";"4676";"Geraniaceae";7
"459";"7622";"Gigasporaceae";3
"460";"1032756";"Gliricola";20
"461";"3300";"Glomeraceae";3
"462";"1148";"Glomerales";3
"463";"156";"Glomeromycetes";3
"464";"2559545";"Glomus";3
"465";"5251089";"Glomus invermaium";3
"466";"2558209";"Gongronella";3
"467";"2558212";"Gongronella butleri";3
"468";"8289527";"Gonostomum";6
"469";"8165311";"Gonostomum namibiense";6
"470";"8212596";"Gonostomum strenuum";6
"471";"7862147";"Granulicella paludicola";17
"472";"103470042";"Gregarinasina";6
"473";"2512861";"Guepiniopsis buccina";3
"474";"3220527";"Haliangium";17
"475";"4901805";"Haliea";17
"476";"3228793";"Haliscomenobacter";17
"477";"2558227";"Halteromyces radiatus";3
"478";"7600333";"Hantzschia";20
"479";"5265849";"Hantzschia amphioxys";20
"480";"7569076";"Haptorida";6
"481";"2171";"Hartmannellidae";5
"482";"9206251";"Helianthus annuus";7
"483";"2284094";"Helicotylenchus";8
"484";"4556520";"Helicotylenchus varicaudatus";15
"485";"7477764";"Hemiamphisiella terricola";19
"486";"2308382";"Henlea perpusilla";15
"487";"3219864";"Herbaspirillum";17
"488";"3219877";"Herminiimonas";17
"489";"9180955";"Herpetomonas";9
"490";"3683164";"Hesperelaea palmeri";7
"491";"3200939C1";"Heterococcus caespitosus";20
"492";"2283969";"Heterodera";8
"493";"4896482";"Heteromita";6
"494";"4900802";"Heteromitidae";5
"495";"8255906";"Heterophrys";6
"496";"3194398C1";"Hibberdia magna";20
"497";"2181976";"Histiostoma feroniarum";19
"498";"9744773";"Hodophilus hymenocephalus";3
"499";"2706162";"Holcus";7
"500";"3229012";"Holophaga";17
"501";"7423747";"Holostichidae";6
"502";"3481158";"Holwaya mucida";3
"503";"8294946";"Homalogastra setosa";14
"504";"6465";"Hoplolaimidae";15
"505";"4890869";"Humibacter";17
"506";"2586813";"Hyalorbilia";3
"507";"3222362";"Hydrocarboniphaga";17
"508";"3220160";"Hydrogenophaga";17
"509";"2523318";"Hygrocybe";3
"510";"8369786";"Hygrocybe reidii";3
"511";"2525706";"Hygrophorus";3
"512";"2538727";"Hygrophorus agathosmus";3
"513";"9758565";"Hymenochaetopsis olivacea";3
"514";"2582306";"Hymenoscyphus repandus";3
"515";"3202687";"Hyphochytrium catenoides";6
"516";"2584918";"Hyphodiscus hymeniophilus";3
"517";"2518830";"Hyphodontia rimosissima";3
"518";"7815";"Hyphomicrobiaceae";17
"519";"3220906";"Hyphomicrobium";17
"520";"7215";"Hypogastruridae";20
"521";"6108754";"Iamia";17
"522";"7578709";"Ignavibacterium";17
"523";"5905178";"Ilumatobacter";17
"524";"3834";"Intrasporangiaceae";17
"525";"2595140";"Iodophanus carneus";3
"526";"4349368";"Isolaimium multistriatum";15
"527";"3228987";"Isosphaera";17
"528";"126037304";"Isosphaeraceae";17
"529";"5166886";"Isotoma viridis";20
"530";"7214";"Isotomidae";20
"531";"2120343";"Isotomiella minor";20
"532";"9690045";"Itersonilia pannonica";3
"533";"2518117";"Itersonilia perplexans";3
"534";"2781176";"Ixiolirion tataricum";7
"535";"2639987C1";"Jaagiella alpicola";20
"536";"3225840";"Janibacter";17
"537";"3219885";"Janthinobacterium";17
"538";"2499";"Juglandaceae";7
"539";"2701072";"Juncus";7
"540";"3222057";"Kangiella";17
"541";"3225798";"Kineococcus";17
"542";"7891973";"Kineosporia";17
"543";"3220542";"Kofleria";17
"544";"3224344";"Kribbella";17
"545";"4900657";"Ktedonobacter";17
"546";"3224755";"Kutzneria";17
"547";"2559068";"Kuzuhaea moniliformis";3
"548";"3220956";"Labrys";17
"549";"7606454";"Lacibacter";17
"550";"8041250";"Lacrymaria marina";6
"551";"7958515";"Lacrymariidae";6
"552";"2832";"Laelapidae";20
"553";"408";"Lamiales";7
"554";"3212657";"Lamproderma";15
"555";"3223036";"Legionella";17
"556";"3223071";"Legionella lytica";17
"557";"3225314";"Leifsonia";17
"558";"3225218";"Lentzea";17
"559";"2120880";"Lepidocyrtus";20
"560";"2120899";"Lepidocyrtus paradoxus";20
"561";"4893086";"Leptomyxa";15
"562";"4893086C1";"Leptomyxa reticulata";6
"563";"9727358";"Leptomyxida";15
"564";"8198844C1";"Leptopharynx bromelicola";6
"565";"128048854";"Leptophryidae";11
"566";"3229040";"Levilinea";17
"567";"2555644";"Limonomyces roseipellis";3
"568";"2873855";"Linum";7
"569";"2188311";"Liochthonius";20
"570";"4888700";"Lishizhenia";17
"571";"2230246";"Lithobius forficatus";20
"572";"2230514";"Lithobius variegatus";20
"573";"7589559";"Litostomatea";11
"574";"1611430";"Lonchoptera lutea";19
"575";"2282727";"Longidorus";8
"576";"4554365";"Longidorus raskii";15
"577";"4554383";"Longidorus vinearum";15
"578";"4886727";"Longilinea";17
"579";"4884890";"Luedemannella";17
"580";"6103";"Lumbricidae";20
"581";"9806438";"Lumbricus";20
"582";"4410653";"Lumbricus castaneus";20
"583";"7576647";"Lumbricus centralis";20
"584";"8161409";"Lumbricus friendi";20
"585";"4410657";"Lumbricus terrestris";20
"586";"5907331";"Luteimonas aestuarii";17
"587";"4575424";"Luteolibacter";17
"588";"7507829";"Luticola permuticopsis";20
"589";"3222300";"Lysobacter";17
"590";"2569257";"Magnaporthe";3
"591";"2518091";"Malassezia";3
"592";"2518102";"Malassezia globosa";3
"593";"3195066";"Mallomonas";9
"594";"3220502";"Malonomonas";17
"595";"1414";"Malpighiales";7
"596";"2308278";"Marionina";15
"597";"4409889";"Marionina cf. minutissima PDW-2010";15
"598";"4409891";"Marionina clavata";15
"599";"2308295";"Marionina communis";15
"600";"4409880";"Marionina filiformis";15
"601";"2308289";"Marionina sublitoralis";15
"602";"3224324";"Marmoricola";17
"603";"7639807";"Martelella endophytica";17
"604";"7518643";"Maryna ovata";14
"605";"3219853";"Massilia";17
"606";"5899723";"Massisteria marina";6
"607";"8312129";"Mayamaea";20
"608";"2122150";"Megalothorax";20
"609";"2593986";"Melastiza contorta";3
"610";"6683";"Melastomataceae";7
"611";"2283983";"Meloidogyne naasi";15
"612";"7023889";"Merliniidae";15
"613";"4556193";"Merlinius brevidens";15
"614";"4556202";"Merlinius cf. microdorus TSH-2005";15
"615";"4556197";"Merlinius joctus";15
"616";"7787296";"Meseres corlissi";6
"617";"2282644C1";"Mesodorylaimus cf. nigritulus AV-2005";15
"618";"2283674";"Mesorhabditis";14
"619";"3220966";"Mesorhizobium";17
"620";"2562464";"Metarhizium";18
"621";"2562645";"Metarhizium anisopliae";3
"622";"4555808";"Metateratocephalus";14
"623";"3220334";"Methylobacillus";17
"624";"7816";"Methylobacteriaceae";17
"625";"3220820";"Methylobacterium";17
"626";"3220879";"Methylocapsa";17
"627";"3220866";"Methylocella";17
"628";"4726";"Methylocystaceae";17
"629";"8929";"Methylophilaceae";17
"630";"3220331";"Methylophilus";17
"631";"3221069";"Methylosinus";17
"632";"3221071";"Methylosinus sporium";17
"633";"3221070";"Methylosinus trichosporium";17
"634";"2641076";"Micractinium";20
"635";"3837";"Microbacteriaceae";17
"636";"3225370";"Microbacterium";17
"637";"3836";"Micrococcaceae";17
"638";"3225670";"Microlunatus";17
"639";"3224505";"Micromonospora";17
"640";"3838";"Micromonosporaceae";17
"641";"126043370";"Microthrixaceae";17
"642";"3220848";"Microvirga";17
"643";"1320";"Mischococcales";20
"644";"3201190C1";"Mischococcus sphaerocephalus";20
"645";"8742";"Mniaceae";20
"646";"7571206";"Monilicaryon monilatum";6
"647";"8324907C1";"Monocystis agilis";6
"648";"8420648";"Monosiga ovata";6
"649";"6562811";"Moorella";17
"650";"4902158";"Moraxella osloensis";17
"651";"2558228";"Mortierella";3
"652";"4093";"Mortierellaceae";3
