Filter;ScientificName;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30
0;unknown family;2;0;0;4;2;2;0;0;1;1;0;3;2;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;0
0;unknown family;0;0;0;5;0;2;0;1;1;4;2;1;1;0;0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0
0;unknown family;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;1;1;2;3;1;0;1;1
0;unknown1;489;433;388;513;500;478;567;540;569;413;393;413;501;613;585;424;391;464;532;476;506;387;443;417;509;558;527;404;393;448
0;unknown10;31;18;28;59;67;45;49;37;57;36;44;35;45;35;39;27;25;22;34;22;30;29;28;29;36;35;34;34;28;30
0;unknown11;26;34;26;40;36;48;51;40;40;19;29;29;33;42;24;22;25;20;36;30;32;19;20;37;30;27;36;29;16;35
0;unknown12;40;23;31;0;0;0;8;16;9;67;79;84;11;9;17;45;28;34;13;17;20;60;69;80;12;21;18;13;22;25
0;unknown13;21;18;20;43;44;31;40;26;31;23;28;16;30;29;22;23;13;21;36;27;25;19;20;17;22;22;28;12;18;15
0;unknown14;21;21;24;30;27;33;20;31;12;23;24;25;34;27;20;17;14;20;22;25;19;21;20;18;8;19;21;17;17;19
0;unknown15;18;14;18;35;29;22;29;30;24;20;20;15;27;13;20;24;24;12;23;16;24;11;19;26;28;29;14;20;16;20
0;unknown16;9;18;12;43;34;40;22;39;28;22;21;20;25;16;15;11;15;15;14;20;24;14;13;11;15;9;15;13;18;12
0;unknown17;25;13;17;0;0;0;3;5;11;29;32;14;10;25;19;16;12;20;17;21;11;39;26;32;9;43;22;22;14;14
0;unknown18;21;25;13;0;0;0;11;14;30;11;12;7;19;20;19;19;13;9;26;12;12;8;12;21;19;18;23;11;18;9
0;unknown19;5;2;9;0;1;0;25;21;46;33;35;53;23;9;15;7;0;9;2;4;3;8;6;16;7;3;4;4;2;4
0;unknown2;426;434;348;670;612;679;564;547;510;549;505;509;472;411;453;386;382;351;397;396;385;409;413;436;391;400;399;356;386;434
0;unknown20;6;12;5;6;7;7;19;18;25;7;6;7;26;20;17;12;6;10;12;14;13;16;12;10;10;9;11;10;7;15
0;unknown3;369;395;373;573;571;564;534;514;471;469;474;518;587;502;411;356;322;351;489;491;464;381;321;332;271;404;371;388;372;380
0;unknown4;206;222;250;402;385;365;317;264;272;255;270;279;381;309;282;216;152;172;270;320;303;215;185;144;161;169;191;159;186;188
0;unknown5;114;129;92;224;218;226;164;162;178;154;162;186;181;132;133;119;95;124;187;122;99;72;97;99;106;143;114;90;121;76
0;unknown6;117;99;99;176;161;191;125;146;141;157;159;123;164;171;133;81;75;93;91;106;143;104;113;119;117;121;112;99;92;82
0;unknown7;100;121;102;178;178;169;175;195;157;162;160;153;192;166;131;83;70;91;113;106;106;82;84;83;63;96;101;84;88;83
0;unknown8;65;57;52;69;73;62;69;67;87;59;69;69;94;61;77;55;41;46;72;50;56;41;43;47;48;63;48;49;44;41
0;unknown9;49;46;42;85;84;57;57;51;34;69;73;64;57;72;53;33;48;37;38;49;34;49;33;47;44;39;48;46;52;49
