verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family
Diplorickettsiaceae;Gammaproteobacteria;362_02;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae
Entotheonellaceae;Deltaproteobacteria;338_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Deltaproteobacteria;Entotheonellales;Entotheonellaceae
Gimesiaceae;Planctomycetales;1218_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Gimesiaceae
Inquilinaceae;Alphaproteobacteria;197_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Inquilinaceae
Koribacteraceae;Acidobacteriales;1197_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Koribacteraceae
Magnetospirillaceae;Rhodospirillales;1223_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Magnetospirillaceae
Mitochondria;Bacteria;3_09;EDITED;;ACCEPTED;KINGDOM;Bacteria;;;;
Mucoromycota;Mucorales;749_01;EDITED;;ACCEPTED;FAMILY;Fungi;Zygomycota;Mucoromycetes;Mucorales;Mucoromycota
Nitrosotaleaceae;Archaea;2_01;EDITED;;ACCEPTED;FAMILY;Archaea;Thaumarchaeota;Nitrososphaeria;Nitrosotaleales;Nitrosotaleaceae
Paracaedibacteraceae;Alphaproteobacteria;197_02;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Paracaedibacteraceae
Pirellulaceae;Planctomycetacia;306_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Planctomycetes;Planctomycetacia;Pirellulales;Pirellulaceae
Qusdinematidae;Qudsianematidae;5984;EDITED;59;ACCEPTED;FAMILY;Animalia;Nematoda;Adenophorea;Dorylaimida;Qusdinematidae
Reyranellaceae;Alphaproteobacteria;197_03;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae
Rhodomicrobiaceae;Rhizobiales;1221;EDITED;;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodomicrobiaceae
Schlesneriaceae;Schleiferiaceae;8245257;EDITED;64;ACCEPTED;FAMILY;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Schlesneriaceae
Solibacteraceae;Acidobacteria;25_01;EDITED;;ACCEPTED;FAMILY;Bacteria;Acidobacteria;Acidobacteriia;Solibacterales;Solibacteraceae
Thermoanaerobaculaceae;Acidobacteria;25_02;EDITED;;ACCEPTED;FAMILY;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae
Vermiphilaceae;Bacteria;3_10;EDITED;;ACCEPTED;FAMILY;Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae
Zoopagomycota_UC;Zoopagomycetes;5_01;EDITED;;ACCEPTED;FAMILY;Fungi;Zygomycota;Zoopagomycetes;Zoopagales;Zoopagomycota
SOM;SOM;R_01;FICT;;;RESOURCE;SOM;;;;
CO2;CO2;R_02;FICT;;;RESOURCE;CO2;;;;
plant;plant;R_03;FICT;;;RESOURCE;plant;;;;
