consumer_gbif_key,consumer_rank,consumer_name,interaction_type,resource_name,resource_gbif_key,resource_rank,reference,remark
8280112,SPECIES,Bakuella edaphoni,eats,Arcellinida,760,ORDER,Foissner 1998,
7429265,SPECIES,Bicoronella costaricana,eats,Arcellinida,760,ORDER,Foissner 1998,
8312067,SPECIES,Bursaria truncatella,eats,Arcellinida,760,ORDER,Foissner 1998,
7918976,SPECIES,Cyrtobymena citrina,eats,Arcellinida,760,ORDER,Foissner 1998,
7759386,SPECIES,Cyrtobymena muscorum,eats,Arcellinida,760,ORDER,Foissner 1998,
7417909,SPECIES,Cyrtohymena australis,eats,Arcellinida,760,ORDER,Foissner 1998,
8028830,SPECIES,Dimacrocaryon amphileptoides,eats,Arcellinida,760,ORDER,Foissner 1998,
7981508,SPECIES,Hemiamphisiella wilberti,eats,Arcellinida,760,ORDER,Foissner 1998,
7933468,SPECIES,Holosticha adami,eats,Arcellinida,760,ORDER,Foissner 1998,
8287515,SPECIES,Holosticha australis,eats,Arcellinida,760,ORDER,Foissner 1998,
7876308,SPECIES,Holosticha distyla,eats,Arcellinida,760,ORDER,Foissner 1998,
7879294,SPECIES,Holosticha multistilata,eats,Arcellinida,760,ORDER,Foissner 1998,
7434181,SPECIES,Holosticha muscorum,eats,Arcellinida,760,ORDER,Foissner 1998,
7402425,SPECIES,Oxytricha rubripuncta,eats,Arcellinida,760,ORDER,Foissner 1998,
7505865,SPECIES,Paraurostyla granulifera,eats,Arcellinida,760,ORDER,Foissner 1998,
8038938,SPECIES,Pattersoniella vitiphila,eats,Arcellinida,760,ORDER,Foissner 1998,
8058651,SPECIES,Platyophrya spumacola,eats,Arcellinida,760,ORDER,Foissner 1998,
7501409,SPECIES,Pseudourostyla franzi,eats,Arcellinida,760,ORDER,Foissner 1998,
8191111,SPECIES,Tachysoma humicola,eats,Arcellinida,760,ORDER,Foissner 1998,
7439614,SPECIES,Tricoronella pulchra,eats,Arcellinida,760,ORDER,Foissner 1998,
8199022,SPECIES,Uroleptus lepisma,eats,Arcellinida,760,ORDER,Foissner 1998,
7907886,SPECIES,Uroleptus notabilis,eats,Arcellinida,760,ORDER,Foissner 1998,
7969533,SPECIES,Urosomoida agilis,eats,Arcellinida,760,ORDER,Foissner 1998,
7680285,SPECIES,Urostyla grandis,eats,Arcellinida,760,ORDER,Foissner 1998,
9426362,GENUS,Allovahlkampfia,eats,Archaea,2,KINGDOM,,
4378322,FAMILY,Apusomonadidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
7957238C1,FAMILY,Bicosoecidae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
7807526,GENUS,Bodo,eats,Archaea,2,KINGDOM,,
2164,FAMILY,Cercomonadidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
3235907,FAMILY,Chlamydophryidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
7073563,CLASS,Chrysophyceae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
4905099C1,FAMILY,Echinamoebidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
6584,FAMILY,Euglyphidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
2171,FAMILY,Hartmannellidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
4900802,FAMILY,Heteromitidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
4893086C1,SPECIES,Leptomyxa reticulata,eats,Archaea,2,KINGDOM,,
4581,FAMILY,Mallomonadaceae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
8699,FAMILY,Myxochloridaceae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
9171551C1,SPECIES,Neobodo designis,eats,Archaea,2,KINGDOM,,
7457456,SPECIES,Obertrumia georgiana,eats,Archaea,2,KINGDOM,,
4579,FAMILY,Ochromonadaceae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
8006472,CLASS,Oligohymenophorea,eats,Archaea,2,KINGDOM,,pred1 intercepteur
6585,FAMILY,Paulinellidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
3236046,FAMILY,Salpingoecidae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
9281454,FAMILY,Siluaniidae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
9797892,ORDER,Euglyphida,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
4920982C1,FAMILY,Stemonitidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
8157265,FAMILY,Stephanoecidae,eats,Archaea,2,KINGDOM,,pred1 intercepteur
4378164,FAMILY,Thaumatomastigidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
3235224,FAMILY,Trinematidae,eats,Archaea,2,KINGDOM,,pred1 assoc au substrat
2626969,SPECIES,Olpidium brassicae,parasiteOf,Arctium,8106066,GENUS,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Arenaria fendleri,5384500,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Arenaria peploides,6363690,SPECIES,FungalDataBase,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Arracacia xanthorrhiza,3034509,SPECIES,https://www.cabi.org/isc/datasheet/53366,
5262297,SPECIES,Phoma herbarum,parasiteOf,Artemisia,3120641,GENUS,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Artemisia parviflora,3120957,SPECIES,FungalDataBase,
2560584,GENUS,Beauveria,parasiteOf,Arthropoda,54,PHYLUM,doi.org/10.1016/j.aspen.2017.08.015,
2562464,GENUS,Metarhizium,parasiteOf,Arthropoda,54,PHYLUM,Funguild,
2555962,GENUS,Cystobasidium,eats,Ascomycota,95,PHYLUM,FunGuild; The Rasputin Effect: When Commensals and Symbionts Become Parasitic,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Asparagus officinalis,2768885,SPECIES,https://www.cabi.org/isc/datasheet/53366,
5262297,SPECIES,Phoma herbarum,parasiteOf,Asperula,2916597,GENUS,FungalDataBase,
2555201,SPECIES,Rhizoctonia solani,parasiteOf,Asteraceae,3065,FAMILY,GLoBi,the first 15 families in terms of listed interactions
1162125,GENUS,Agriotes,eats,Asteraceae,3065,FAMILY,https://www.brc.ac.uk/DBIF/invertebrates.aspx,
8011702,GENUS,Athous,eats,Asteraceae,3065,FAMILY,https://www.brc.ac.uk/DBIF/invertebrates.aspx,
2518117,SPECIES,Itersonilia perplexans,parasiteOf,Asteraceae,3065,FAMILY,Funguild,
