scientific_name,µhab_surf,µhab_subsurf,µhab_soil
Parafilimonas terrae,1,1,1
Sediminibacterium,1,1,1
Sediminibacterium aquarii,1,1,1
Segetibacter,1,1,1
uncultured Segetibacter sp.,1,1,1
Terrimonas,1,1,1
Terrimonas arctica,1,1,1
Terrimonas sp. URHE0054,1,1,1
uncultured Terrimonas sp.,1,1,1
Chitinophagales,1,1,1
uncultured Haliscomenobacter sp.,1,1,1
uncultured Chloroflexus sp.,1,1,1
uncultured Roseiflexus sp.,1,1,1
Clostridium,1,1,1
uncultured Thermaerobacter sp.,1,1,1
uncultured Desulfitobacterium sp.,1,1,1
uncultured Moorella sp.,1,1,1
uncultured Thermoanaerobacter sp.,1,1,1
uncultured Candidatus Nephrothrix sp.,1,1,1
Cytophaga hutchinsonii,1,1,1
uncultured Cytophaga sp.,1,1,1
Dyadobacter,1,1,1
Emticicia sp. KJ033,1,1,1
Fibrella sp.,1,1,1
uncultured Flexibacter sp.,1,1,1
Cytophagaceae,1,1,1
uncultured Ohtaekwangia sp.,1,1,1
Adhaeribacter,1,1,1
uncultured Adhaeribacter sp.,1,1,1
Pontibacter,1,1,1
Pontibacter sp. LX8,1,1,1
uncultured Dehalococcoides sp.,1,1,1
Bacteriovorax sp. PNEc1,1,1,1
Bdellovibrio,1,1,1
Bdellovibrio exovorus,1,1,1
Bdellovibrio exovorus JSS,1,1,1
uncultured Bdellovibrio sp.,1,1,1
Bdellovibrionales,1,1,1
uncultured Desulfotalea sp.,1,1,1
uncultured Desulfovibrio sp.,1,1,1
Desulfuromonas,1,1,1
uncultured Desulfuromonas sp.,1,1,1
uncultured Malonomonas sp.,1,1,1
Desulfuromonadaceae,1,1,1
Pelobacter,1,1,1
uncultured Pelobacter sp.,1,1,1
uncultured Geoalkalibacter sp.,1,1,1
Geobacter,1,1,1
Geobacter anodireducens,1,1,1
Geobacter sp. enrichment culture clone VanCtr1,1,1,1
uncultured Geobacter sp.,1,1,1
uncultured Geothermobacter sp.,1,1,1
Anaeromyxobacter,1,1,1
uncultured Anaeromyxobacter sp.,1,1,1
uncultured Cystobacter sp.,1,1,1
Archangiaceae,1,1,1
Stigmatella,1,1,1
uncultured Haliangium sp.,1,1,1
uncultured Kofleria sp.,1,1,1
Aggregicoccus edonensis,1,1,1
Myxococcaceae,1,1,1
Cystobacterineae,1,1,1
Myxococcales,1,1,1
Sorangiineae,1,1,1
uncultured Nannocystis sp.,1,1,1
uncultured Phaselicystis sp.,1,1,1
Aetherobacter,1,1,1
uncultured Byssovorax sp.,1,1,1
uncultured Chondromyces sp.,1,1,1
Polyangiaceae,1,1,1
uncultured Polyangium sp.,1,1,1
Sorangium cellulosum,1,1,1
Vulgatibacter incomptus,1,1,1
Deltaproteobacteria,1,1,1
uncultured Syntrophus sp.,1,1,1
uncultured Desulfovirga sp.,1,1,1
uncultured Syntrophobacter sp.,1,1,1
uncultured Crocinitomix sp.,1,1,1
Fluviicola,1,1,1
Fluviicola sp. YS 1.2.4,1,1,1
uncultured Fluviicola sp.,1,1,1
uncultured Lishizhenia sp.,1,1,1
Chryseobacterium,1,1,1
Flavobacterium,1,1,1
Flavobacterium hydatis,1,1,1
Flavobacterium sp. BF134,1,1,1
Flavobacterium sp. HL-17,1,1,1
Flavobacterium sp. PDD-32b-56,1,1,1
Flavobacterium sp. R-38392,1,1,1
uncultured Flavobacterium sp.,1,1,1
Flavobacteriaceae,1,1,1
Ktedonobacter sp. enrichment culture clone CTBE CDB1001H01,1,1,1
uncultured Ktedonobacter sp.,1,1,1
uncultured Rhodothermus sp.,1,1,1
Bacteroidetes,1,1,1
Chloroflexi,1,1,1
Verrucomicrobia,1,1,1
Cephaloticoccus,1,1,1
Opitutaceae,1,1,1
Opitutus,1,1,1
uncultured Opitutus sp.,1,1,1
Gaiella,1,1,1
Gaiella occulta,1,1,1
uncultured Gaiella sp.,1,1,1
uncultured Rubrobacter sp.,1,1,1
Chthoniobacter flavus,1,1,1
Mucilaginibacter,1,1,1
Mucilaginibacter sp. HME7565,1,1,1
Mucilaginibacter sp. UA-VH0703,1,1,1
uncultured Mucilaginibacter sp.,1,1,1
Sphingobacteriaceae,1,1,1
Pedobacter,1,1,1
Pedobacter luteus,1,1,1
Pedobacter sp. FGR-05,1,1,1
uncultured Pedobacter sp.,1,1,1
Solitalea,1,1,1
uncultured Solitalea sp.,1,1,1
Sphingobacterium,1,1,1
Sphingobacterium sp. P-7,1,1,1
Conexibacter,1,1,1
uncultured Conexibacter sp.,1,1,1
Solirubrobacterales,1,1,1
Solirubrobacter,1,1,1
uncultured Solirubrobacter sp.,1,1,1
uncultured Thermoleophilum sp.,1,1,1
uncultured Sphaerobacter sp.,1,1,1
Pedosphaera parvula Ellin514,1,1,1
uncultured Pedosphaera sp.,1,1,1
uncultured Luteolibacter sp.,1,1,1
Verrucomicrobiaceae,1,1,1
uncultured Prosthecobacter sp.,1,1,1
uncultured Verrucomicrobium sp.,1,1,1
Basidiobolus,1,1,1
Cryptococcus amylolentus,1,1,1
Tyrophagus,1,1,0
Histiostoma feroniarum,1,1,0
Choleva angustata,1,1,0
Lonchoptera lutea,1,1,0
Eosentomon sp. FNSA-2002,1,1,0
Protura,1,1,0
Ditylenchus dipsaci,0,1,1
Anguininae,0,1,1
Aphelenchus,0,1,1
Aphelenchus avenae,0,1,1
Seinura demani,0,1,1
Aphelenchoides,0,1,1
Aphelenchoides sp. 2137,0,1,1
Pseudaphelenchus,0,1,1
Tylencholaimus sp. PDL-2005,0,1,1
Mykophagophrys terricola,0,1,1
Pseudoplatyophrya nana,0,1,1
Allolobophora chlorotica,0,1,1
Aporrectodea,0,1,1
Aporrectodea caliginosa,0,1,1
Aporrectodea longa,0,1,1
